mag,inj,fat,loss,slat,slon,elat,elon,len,wid,TMAX,TMIN,PRCP,SNOW,tornado_occurrence,AWND,WSFI,WSFM,WSFG,WDFG,WSF1,WSF2,WSF5,WDF1,WDF2,WDF5,WDFI,WDFM,WT03,WT11,ACMH,hour,minute,year,month,day,day_of_week,is_weekend,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,part_of_day_Night,part_of_day_Morning,part_of_day_Afternoon,part_of_day_Evening
0.0,1.0,0.0,10000.0,30.85,-95.42,30.85,-95.42,0.3,0.0,22.2,19.7,1.4,0.0,1.0,4.3,9.3,7.6,7.6,50.0,8.0,9.4,11.6,40.000000000000014,-70.00000000000003,-79.99999999999999,68.0,-45.00000000000001,1.0,1.0,100.0,13,23,1999,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,1000.0,30.2487,-93.7695,30.2487,-93.7691,0.02,10.0,18.6,13.1,11.6,0.0,1.0,3.0,10.2,7.6,10.7,270.0,8.0,17.9,17.0,40.000000000000014,-20.0,-10.000000000000009,68.0,-45.00000000000001,1.0,1.0,60.0,15,19,2011,8,14,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,0.0,0.0,497355.08714371553,34.25,-102.67,34.25,-102.6,4.3,200.0,22.3,9.7,0.0,0.0,1.0,4.7,13.0,8.5,13.4,90.0,8.9,9.4,11.2,40.000000000000014,-20.0,-20.0,-1.4033418597069754e-14,90.0,1.0,0.0,90.0,20,45,1971,4,18,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.0,0.0,0.0,98179.65297336066,32.85,-99.9,0.0,0.0,0.1,10.0,19.0,10.7,18.8,0.0,1.0,4.7,9.3,7.6,11.3,23.0,8.0,9.4,11.2,70.0,-20.0,-20.0,23.0,7.016709298534877e-15,1.0,1.0,60.0,19,0,1962,5,25,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,0.0,0.0,5000.0,29.52,-95.8,0.0,0.0,0.7,10.0,21.5,11.0,0.0,0.0,1.0,2.2,9.3,2.2,11.8,90.0,4.0,9.4,11.2,-19.999999999999996,-20.0,-20.0,68.0,45.00000000000001,1.0,1.0,100.0,4,10,1992,2,22,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,0.0,0.0,50000.0,31.85,-98.42,31.85,-98.42,0.1,200.0,33.9,13.9,0.0,0.0,1.0,4.7,9.3,7.6,7.7,180.0,8.0,9.4,11.2,70.0,-20.0,-20.0,23.0,7.016709298534877e-15,1.0,1.0,60.0,13,35,1956,2,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,98179.65297336066,35.18,-102.12,35.18,-102.12,0.1,25.0,20.3,8.0,0.0,0.0,1.0,5.5,7.2,7.6,14.8,230.0,8.0,6.7,7.6,40.000000000000014,9.999999999999996,30.0,68.0,-45.00000000000001,1.0,1.0,0.0,18,11,2004,6,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2.0,0.0,0.0,100000.0,33.1602,-95.0703,33.161,-95.0708,0.06,19.0,20.3,14.5,4.6,0.0,1.0,0.8,16.1,7.6,0.0,0.0,8.0,12.5,10.3,40.000000000000014,39.99999999999999,-1.4033418597069754e-14,68.0,-45.00000000000001,1.0,1.0,60.0,12,54,2015,4,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,98179.65297336066,29.77,-96.38,0.0,0.0,0.1,10.0,31.3,10.0,0.0,0.0,1.0,2.0,9.3,6.3,5.7,45.0,10.3,7.2,8.0,40.000000000000014,-59.99999999999999,-50.000000000000014,68.0,-45.00000000000001,1.0,1.0,90.0,4,15,1995,3,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4.0,0.0,0.0,3553101.198801199,34.33,-99.22,34.542,-99.115,17.39,500.0,23.6,9.7,0.0,0.0,1.0,5.1,5.4,7.6,7.2,315.0,8.0,6.3,5.8,40.000000000000014,-79.99999999999999,-50.000000000000014,68.0,-45.00000000000001,1.0,1.0,60.0,14,38,2011,11,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.0,0.0,0.0,10000.0,30.53,-93.97,30.52,-93.92,1.0,10.0,23.0,14.8,14.2,0.0,1.0,4.7,9.3,7.6,7.2,140.0,8.0,5.8,7.2,40.000000000000014,70.0,70.0,68.0,-45.00000000000001,1.0,1.0,63.0,17,15,1999,5,27,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2.0,25.0,0.0,20000000.0,29.37,-99.17,29.35,-99.15,1.2,500.0,15.0,5.3,0.0,0.0,1.0,3.8,9.3,7.6,10.3,120.0,8.0,6.3,6.7,40.000000000000014,-80.00000000000003,-80.00000000000003,68.0,-45.00000000000001,1.0,1.0,88.0,21,40,2001,10,12,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.0,0.0,0.0,250000.0,31.07,-95.93,31.1,-95.88,1.0,50.0,21.2,13.5,0.0,0.0,1.0,3.4,9.3,7.6,7.7,160.0,8.0,6.7,7.6,40.000000000000014,79.99999999999999,70.0,68.0,-45.00000000000001,1.0,1.0,13.0,17,25,1998,1,21,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,98179.65297336066,30.22,-101.12,30.22,-101.08,0.2,30.0,32.4,20.5,8.0,0.0,1.0,3.5,9.3,7.6,4.5,90.0,8.0,6.3,7.6,40.000000000000014,-19.999999999999996,-19.999999999999996,68.0,-45.00000000000001,1.0,1.0,63.0,17,10,1999,3,27,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,98179.65297336066,30.4802,-103.46,30.4858,-103.458,0.41,100.0,21.0,9.8,0.0,0.0,1.0,4.2,9.2,7.6,50.0,23.0,8.0,12.5,16.1,40.000000000000014,-10.000000000000057,-1.4033418597069754e-14,68.0,-45.00000000000001,1.0,1.0,60.0,17,13,2015,5,22,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,98179.65297336066,30.15,-96.27,30.15,-96.27,0.2,20.0,17.0,5.0,0.0,0.0,1.0,5.9,9.3,7.6,13.0,200.0,8.0,8.0,13.4,40.000000000000014,-30.00000000000003,-19.999999999999996,68.0,-45.00000000000001,1.0,1.0,88.0,16,33,2003,6,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,98179.65297336066,33.3,-102.43,33.3,-102.42,0.7,50.0,18.3,12.5,3.0,0.0,1.0,4.8,17.4,7.6,10.8,90.0,8.0,5.8,7.6,40.000000000000014,90.0,-49.99999999999999,68.0,-45.00000000000001,1.0,1.0,60.0,17,0,2006,5,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,1.0,0.0,282020.95193142025,32.53,-98.68,0.0,0.0,2.0,10.0,18.3,8.9,0.0,0.0,1.0,4.7,9.3,7.6,7.7,270.0,8.0,9.4,11.2,70.0,-20.0,-20.0,23.0,7.016709298534877e-15,1.0,1.0,60.0,15,0,1955,6,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.0,5.0,0.0,100000.0,29.83,-94.77,29.83,-94.77,0.5,100.0,21.5,14.3,3.6,0.0,1.0,3.9,6.7,7.6,7.6,150.0,8.0,14.3,13.4,40.000000000000014,-79.99999999999999,-69.99999999999997,68.0,-45.00000000000001,1.0,1.0,0.0,17,30,2003,11,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.0,0.0,0.0,98179.65297336066,34.025,-100.3733,34.0462,-100.3525,1.89,20.0,21.5,3.2,0.0,0.0,1.0,2.1,17.7,7.6,16.1,225.0,8.0,13.4,17.9,40.000000000000014,30.0,30.0,68.0,-45.00000000000001,1.0,1.0,60.0,14,1,2019,5,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,98179.65297336066,33.22,-99.23,0.0,0.0,0.1,10.0,16.6,4.7,0.8,0.0,1.0,4.7,9.3,7.2,10.3,45.0,7.2,9.4,11.2,79.99999999999999,-20.0,-20.0,7.016709298534877e-15,-45.00000000000001,1.0,0.0,30.0,19,0,1980,5,25,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,0.0,0.0,50.0,33.67,-95.38,0.0,0.0,0.1,10.0,19.0,9.5,0.4,0.0,1.0,5.9,9.3,3.1,10.8,90.0,11.2,9.4,11.2,79.99999999999999,-20.0,-20.0,68.0,-44.99999999999999,1.0,1.0,20.0,19,15,1982,5,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,0.0,0.0,50000.0,34.12,-99.12,34.13,-99.07,2.0,70.0,19.0,6.0,1.6,0.0,1.0,4.9,9.3,7.6,6.7,270.0,8.0,5.4,6.7,40.000000000000014,30.0,20.00000000000001,68.0,-45.00000000000001,1.0,1.0,100.0,16,30,2000,4,30,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.0,0.0,0.0,497355.08714371553,27.28,-98.1,0.0,0.0,2.0,200.0,14.5,9.5,6.4,0.0,1.0,4.7,9.3,7.6,11.8,158.0,8.0,9.4,11.2,70.0,-20.0,-20.0,23.0,7.016709298534877e-15,1.0,1.0,60.0,19,50,1963,7,25,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0,0.0,0.0,98179.65297336066,33.0,-99.78,0.0,0.0,0.1,10.0,27.5,11.0,0.0,0.0,1.0,4.7,9.3,10.7,9.3,90.0,4.0,9.4,11.2,79.99999999999999,-20.0,-20.0,68.0,44.99999999999999,1.0,0.0,80.0,16,35,1981,4,22,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,50000.0,32.65,-99.17,32.65,-99.17,0.1,25.0,20.8,11.7,0.0,0.0,1.0,7.2,10.3,7.6,10.7,160.0,8.0,9.8,11.2,40.000000000000014,-39.99999999999999,-39.99999999999999,68.0,-45.00000000000001,1.0,1.0,100.0,12,30,2004,3,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,98179.65297336066,33.65,-101.89,33.67,-101.88,1.64,75.0,27.0,13.0,0.0,0.0,1.0,5.1,3.2,7.6,10.8,90.0,8.0,4.5,5.4,40.000000000000014,-59.99999999999997,-49.99999999999999,68.0,-45.00000000000001,1.0,1.0,60.0,17,18,2007,12,27,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2.0,0.0,0.0,500000.0,29.52,-94.48,29.78,-94.33,20.5,10.0,20.5,8.0,0.0,0.0,1.0,4.7,7.2,9.8,12.9,90.0,7.2,9.4,11.2,20.00000000000001,-20.0,-20.0,90.0,90.0,1.0,0.0,60.0,11,40,1974,10,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2.0,0.0,0.0,1074179.2994791768,30.17,-96.38,0.0,0.0,0.3,33.0,27.1,16.1,0.0,0.0,1.0,4.7,9.8,14.8,18.0,45.0,8.0,9.4,11.2,20.00000000000001,-20.0,-20.0,-67.00000000000003,90.0,1.0,0.0,90.0,21,30,1971,2,25,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,0.0,0.0,120000.0,32.3102,-96.7952,32.3743,-96.7707,4.65,80.0,17.0,8.6,1.0,0.0,1.0,3.9,8.5,7.6,32.0,32.0,8.0,8.1,13.9,40.000000000000014,-10.000000000000009,9.999999999999996,68.0,-45.00000000000001,1.0,1.0,60.0,14,21,2015,5,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2.0,2.0,0.0,500000.0,30.03,-94.33,30.08,-94.12,13.4,50.0,25.0,11.4,0.0,0.0,1.0,4.7,9.3,10.7,14.9,315.0,4.0,9.4,11.2,90.0,-20.0,-20.0,68.0,45.00000000000001,1.0,0.0,30.0,11,15,1981,4,23,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.0,0.0,0.0,50.0,33.37,-97.68,0.0,0.0,0.3,50.0,18.0,11.8,0.0,0.0,1.0,6.0,9.3,4.5,13.9,90.0,8.0,9.4,11.2,90.0,-20.0,-20.0,68.0,-45.00000000000001,1.0,1.0,50.0,20,5,1982,6,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,0.0,0.0,5000.0,31.2,-98.78,31.23,-98.73,4.3,440.0,25.5,13.2,0.0,0.0,1.0,4.7,17.9,6.7,10.3,180.0,11.2,9.4,11.2,60.00000000000001,-20.0,-20.0,-67.00000000000003,7.016709298534877e-15,1.0,0.0,90.0,18,15,1973,1,20,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,0.0,0.0,300000.0,32.5465,-94.6734,32.5655,-94.5991,4.52,760.0,23.4,15.2,2.0,0.0,1.0,11.5,9.2,7.6,0.0,0.0,8.0,7.6,9.8,40.000000000000014,30.0,39.99999999999999,68.0,-45.00000000000001,1.0,1.0,60.0,18,20,2015,4,9,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.0,0.0,0.0,98179.65297336066,35.93,-100.3,0.0,0.0,1.5,10.0,18.6,5.0,0.0,0.0,1.0,4.7,9.3,8.0,11.3,90.0,8.0,9.4,11.2,79.99999999999999,-20.0,-20.0,7.016709298534877e-15,44.99999999999999,1.0,0.0,30.0,17,30,1980,4,24,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,30000.0,30.42,-95.48,30.42,-95.48,0.1,70.0,31.0,10.0,0.0,0.0,1.0,4.5,9.3,7.6,10.3,140.0,8.0,5.8,4.0,40.000000000000014,-40.00000000000002,-40.00000000000002,68.0,-45.00000000000001,1.0,1.0,100.0,19,44,2001,12,16,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.0,0.0,0.0,98179.65297336066,35.0812,-101.137,35.0879,-101.106,1.83,50.0,29.8,12.8,0.0,0.0,1.0,1.3,9.7,7.6,10.8,90.0,8.0,9.4,13.0,40.000000000000014,40.000000000000014,50.0,68.0,-45.00000000000001,1.0,1.0,60.0,15,59,2010,4,22,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,98179.65297336066,35.0,-102.62,0.0,0.0,1.0,50.0,19.0,15.5,0.0,0.0,1.0,4.9,9.3,3.1,7.7,90.0,6.7,9.4,11.2,-10.000000000000057,-20.0,-20.0,68.0,7.016709298534877e-15,1.0,1.0,50.0,18,28,1989,5,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,0.0,0.0,98179.65297336066,29.92,-98.52,29.92,-98.52,0.2,50.0,24.0,10.0,0.0,0.0,1.0,4.0,9.3,7.6,8.9,210.0,8.0,9.4,9.4,40.000000000000014,-59.99999999999997,-40.00000000000002,68.0,-45.00000000000001,1.0,1.0,100.0,17,15,2001,3,8,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,40000.0,32.44,-97.22,32.46,-97.22,1.3,70.0,21.7,18.3,0.0,0.0,1.0,5.1,3.9,7.6,10.8,90.0,8.0,10.7,13.0,40.000000000000014,30.0,10.0,68.0,-45.00000000000001,1.0,1.0,60.0,16,7,2006,12,29,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1.0,0.0,0.0,30000.0,31.8025,-94.8477,31.8171,-94.8288,1.5,100.0,27.8,10.3,0.0,0.0,1.0,3.1,7.9,7.6,8.5,270.0,8.0,11.2,13.0,40.000000000000014,30.0,-20.0,68.0,-45.00000000000001,1.0,1.0,60.0,17,48,2018,10,31,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0,0.0,0.0,5000.0,30.26,-94.2,30.26,-94.2,0.1,10.0,18.1,12.8,0.0,0.0,1.0,5.1,3.9,7.6,10.8,90.0,8.0,7.6,8.0,40.000000000000014,-50.000000000000014,-50.000000000000014,68.0,-45.00000000000001,1.0,1.0,60.0,6,0,2006,10,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0.0,0.0,0.0,98179.65297336066,32.27,-98.62,0.0,0.0,0.5,30.0,21.9,16.0,0.0,0.0,1.0,3.8,9.3,2.7,10.8,90.0,5.4,9.4,11.2,70.0,-20.0,-20.0,68.0,-45.00000000000001,1.0,1.0,40.0,17,32,1985,4,27,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,98179.65297336066,29.93,-101.17,0.0,0.0,0.2,10.0,18.9,10.2,0.0,0.0,1.0,3.4,9.3,6.3,8.2,45.0,6.3,9.4,11.2,-10.000000000000009,-20.0,-20.0,68.0,7.016709298534877e-15,1.0,1.0,0.0,13,20,1988,9,17,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2.0,0.0,0.0,50000.0,33.0,-97.62,0.0,0.0,0.1,10.0,28.8,15.5,0.0,0.0,1.0,4.7,10.3,8.0,11.3,45.0,7.6,9.4,11.2,-80.00000000000003,-20.0,-20.0,7.016709298534877e-15,90.0,1.0,0.0,40.0,14,30,1973,11,24,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2.0,0.0,0.0,500000.0,32.4831,-96.0012,32.5475,-95.9059,7.24,700.0,21.2,4.0,0.0,0.0,1.0,3.0,9.9,7.6,15.2,270.0,8.0,9.4,18.8,40.000000000000014,-90.0,-90.0,68.0,-45.00000000000001,1.0,1.0,60.0,15,51,2019,5,29,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,98179.65297336066,31.367,-95.079,31.3687,-95.0771,0.16,50.0,28.8,12.2,0.0,0.0,1.0,3.0,5.1,7.6,12.1,40.0,8.0,10.7,14.3,40.000000000000014,-20.0,-20.0,68.0,-45.00000000000001,1.0,1.0,60.0,12,45,2019,4,13,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,98179.65297336066,34.48,-101.77,0.0,0.0,0.2,33.0,16.6,9.9,0.0,0.0,1.0,4.7,14.8,5.4,10.8,220.0,7.6,9.4,11.2,39.99999999999999,-20.0,-20.0,7.016709298534877e-15,7.016709298534877e-15,1.0,0.0,50.0,16,15,1965,5,13,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2.0,0.0,0.0,50000.0,30.58,-94.8,0.0,0.0,2.0,200.0,19.6,9.1,1.6,0.0,1.0,9.3,9.3,7.6,13.4,90.0,8.9,9.4,11.2,-30.00000000000003,-20.0,-20.0,68.0,-45.00000000000001,1.0,1.0,100.0,16,12,1992,11,21,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.0,0.0,0.0,98179.65297336066,35.9042,-101.73,35.9057,-101.72,0.56,25.0,19.6,7.5,0.0,0.0,1.0,4.2,9.7,7.6,10.8,90.0,8.0,6.7,11.6,40.000000000000014,-30.00000000000001,-39.99999999999999,68.0,-45.00000000000001,1.0,1.0,60.0,14,14,2010,6,12,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,40000.0,30.08,-94.88,30.05,-94.88,2.0,50.0,17.0,7.0,10.0,0.0,1.0,3.8,9.3,7.6,10.3,120.0,8.0,11.6,19.7,40.000000000000014,-79.99999999999999,-90.0,68.0,-45.00000000000001,1.0,1.0,63.0,15,52,2001,10,12,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0,0.0,0.0,98179.65297336066,31.2,-101.12,31.2,-101.12,0.1,10.0,23.7,12.1,0.0,0.0,1.0,6.0,9.3,7.6,4.0,320.0,8.0,6.3,7.6,40.000000000000014,50.0,50.0,68.0,-45.00000000000001,1.0,1.0,38.0,17,35,2000,4,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2.0,3.0,0.0,15500000.0,32.878,-96.3286,32.908,-96.2834,3.34,400.0,29.3,17.4,2.0,0.0,1.0,2.2,18.3,7.6,12.1,270.0,8.0,5.4,9.8,40.000000000000014,9.999999999999996,-50.000000000000014,68.0,-45.00000000000001,1.0,1.0,60.0,14,56,2012,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,98179.65297336066,31.15,-94.0,0.0,0.0,0.1,10.0,16.0,12.4,8.0,0.0,1.0,4.7,9.3,4.5,14.4,90.0,10.3,9.4,11.2,79.99999999999999,-20.0,-20.0,68.0,-1.4033418597069754e-14,1.0,0.0,20.0,19,55,1981,6,6,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.0,0.0,0.0,98179.65297336066,29.38,-98.12,29.38,-98.12,0.1,100.0,31.9,13.2,0.0,0.0,1.0,3.3,9.3,7.6,12.9,130.0,8.0,4.9,5.8,40.000000000000014,-59.99999999999999,-59.99999999999999,68.0,-45.00000000000001,1.0,1.0,63.0,8,50,1998,2,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0,0.0,0.0,98179.65297336066,30.82,-97.6,30.82,-97.6,0.3,400.0,32.4,20.1,0.0,0.0,1.0,4.1,3.6,7.6,8.9,240.0,8.0,4.0,5.8,40.000000000000014,30.0,30.0,68.0,-45.00000000000001,1.0,1.0,100.0,18,8,2004,11,23,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.0,0.0,0.0,98179.65297336066,31.32,-99.31,31.3,-99.26,3.26,30.0,18.6,13.7,18.0,0.0,1.0,2.9,4.4,7.6,10.8,90.0,8.0,7.6,11.6,40.000000000000014,59.99999999999999,59.99999999999999,68.0,-45.00000000000001,1.0,1.0,60.0,14,5,2007,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.0,0.0,0.0,5000.0,32.48,-94.07,0.0,0.0,1.0,33.0,34.9,12.2,0.0,0.0,1.0,4.7,9.3,7.6,3.6,338.0,8.0,9.4,11.2,70.0,-20.0,-20.0,23.0,7.016709298534877e-15,1.0,1.0,60.0,6,30,1962,2,23,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.0,7.0,0.0,50000000.0,35.5,-101.02,35.53,-100.97,3.0,200.0,9.0,5.8,20.0,0.0,1.0,7.7,9.3,7.6,11.8,45.0,6.3,10.3,13.4,59.99999999999999,-50.000000000000014,-50.000000000000014,68.0,-44.99999999999999,1.0,1.0,100.0,15,31,1995,6,8,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.0,0.0,0.0,50000.0,32.1,-94.6,0.0,0.0,0.1,10.0,38.2,13.9,0.0,0.0,1.0,4.7,9.3,7.6,16.1,270.0,8.0,9.4,11.2,70.0,-20.0,-20.0,23.0,7.016709298534877e-15,1.0,1.0,60.0,15,0,1953,2,19,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2.0,0.0,0.0,5000.0,33.62,-99.42,0.0,0.0,2.0,10.0,33.3,10.6,0.0,0.0,1.0,4.7,9.3,7.6,8.7,45.0,8.0,9.4,11.2,70.0,-20.0,-20.0,23.0,7.016709298534877e-15,1.0,1.0,60.0,19,15,1957,10,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
